Bill of Material for ,,,,,,,,
On 2019/3/29 at 18:56:17,,,,,,,,
,,,,,,,,
Comment,Pattern,Quantity,Components,,,单价,,小计
,,,,,,,,
1.0pF,402,1,C22,,,0.06,,0.06
1.5pF,402,1,C21,,,0.075,,0.075
100nF,402,1,C27,,,0.049,,0.049
100uF,1206,3,"C130, C132, C133",,,0.15,,0.45
104,0603C,5,"C1, C8, C9, C11, C18",,,0.02,,0.1
10nF,402,1,C26,,,0.016,,0.016
12M,XTAL3225,1,Y1,Crystal,,0.78,,0.78
16M,XTAL3225,1,Y2,Crystal,,0.77,,0.77
2.2nF,402,1,C23,,,0.02,,0.02
2.7nH,402,1,L3,,,0.036,,0.036
22K,402,1,R17,,,0.02,,0.02
22pF,402,2,"C25, C29",,,0.034,,0.068
22uF,805,1,C131,,,0.13,,0.13
3.9nH,402,1,L1,,,0.03,,0.03
33nF,402,1,C28,,,0.029,,0.029
4.7pF,402,1,C24,,,0.06,,0.06
8.2nH,402,1,L2,,,0.31,,0.31
Antenna,ANT6520,1,E1,Generic Antenna,,1.8,天线,1.8
BAT54WS,LC-SOD-323F,6,"D4, D5, D6, D7, D8, D9",,,0.08,,0.48
C10uF,0603C,3,"C7, C12, C19",,,0.05,,0.15
C1uF,0603C,5,"C3, C10, C15, C16, C20",,,0.16,,0.8
C2.2nF,0603C,1,C2,,,0.07,,0.07
Head2,HEAD2,1,P1,,,6,电池,6
KEY-PB,KEY_ALPS,1,K1,,,0.485,,0.485
LED-B,LED,2,"D1, D10",,,0.13,,0.26
LED-G,LED,2,"D2, D3",,,0.11,,0.22
LED-R,LED,2,"D11, D31",,,0.103,,0.206
Micro USB,Micro_USB_t,1,U5,,,0.32,,0.32
Motor,HEAD2,4,"B1, B2, B3, B4","Motor, General Kind",,5.49,电机+浆+座,21.96
MPU6050,QFN24-1,1,U2,,,7.3,,7.3
NRF24l01,QFN20-4X4,1,U6,,,2.2,,2.2
R1.5K,0603R,1,R5,,,0.02,,0.02
R100R,0603R,4,"R12, R13, R14, R15",,,0.02,,0.08
R10K,0603R,8,"R1, R2, R3, R8, R18, R19, R20, R21",,,0.02,,0.16
R1K,0603R,1,R4,,,0.02,,0.02
R1M,402,1,R22,,,0.02,,0.02
R220,0603R,1,R6,,,0.02,,0.02
R2K,0603R,6,"R9, R11, R16, R90, R300, R301",,,0.02,,0.12
SI2302,SOT-23-3,4,"Q1, Q2, Q3, Q4",,,0.18,,0.72
SP6201-adj,SOT23-5,2,"SP1, SP2",,,0.5,,1
STM32F030F3,TSSOP20,1,U4,,,2.2,,2.2
STM32F103C8T6,STM32C8T6,1,U1,,,5.78,,5.78
TP,TEST_PAD,1,t3,,,3.48,PCBA,3.48
TP,TESTPOINT,8,"t1, t2, t4, t5, t6, t100, t200, t400",,,0,,0
Tp4059,LC-SOT-23-6,1,U3,,,0.43,,0.43
,,,,,,,,59.304
